IDENTIFIKATOR_KLIJENTA,DOB,VRSTA_ZAPOSLENJA,CLV_SCORE,CHURN_RISK,FUTURE_POTENTIAL,PRIORITY_SCORE,SEGMENT,PREPORUCENA_AKCIJA,aktivnih_proizvoda,has_kredit,tenure_years,days_since_txn,prigovori_6m
T0841J3T388A,33,ZAPOSLEN,83.4831355694665,18.940343013073694,62.0,67.29523465454275,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,10.213698630136987,0.0,1.0
QUELJIJ5M37F,29,ZAPOSLEN,100.0,15.26727158084926,78.0,65.6069086323397,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,8.0,1.0,29.375342465753423,0.0,0.0
JTX3RX0WK9AG,64,ZAPOSLEN,93.46444921984491,45.0,35.0,64.46255722694572,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,14.0,1.0,10.158904109589042,0.0,0.0
QEAUO75VWZNM,32,ZAPOSLEN,83.4597776324395,30.93828386814115,69.0,63.83623571861028,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,10.145205479452056,7.0,0.0
FCQLJVYHUREL,25,ZAPOSLEN,86.75647594721048,28.85508073341417,67.0,63.65679887488933,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,10.424657534246576,1.0,0.0
5NQU79Z4AA1I,35,ZAPOSLEN,41.98570359548335,72.44444444444444,79.0,63.42277403619695,SPASI PRIORITET,🚨  Potrebna hitna intervencija bankara,6.0,0.0,18.19178082191781,56.0,0.0
T4F14HJ9HYSF,33,ZAPOSLEN,86.37458857731178,33.96395410583151,58.0,63.31668764439173,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,18.46849315068493,0.0,0.0
5BV3B5T1W368,25,ZAPOSLEN,41.16376673823571,68.0,84.0,62.6073183583825,SPASI PRIORITET,🚨  Potrebna hitna intervencija bankara,8.0,0.0,7.767123287671233,36.0,0.0
U8BT04CPPO69,54,ZAPOSLEN,91.8978065168499,28.194513436182792,46.0,59.942037655370584,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,30.22739726027397,2.0,0.0
5L0N1GF3HVQ4,45,PODUZETNIK,81.37534856760837,20.82751892068492,72.0,59.8123795669369,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,5.0,1.0,17.53150684931507,1.0,0.0
LXQZ9Z6OTP7N,30,ZAPOSLEN,70.98850986022876,22.34875039571759,84.0,59.785478609367104,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,0.0,17.564383561643837,0.0,0.0
PVKTHSO5UZHT,50,ZAPOSLEN,93.28225731103429,16.577797869955845,61.0,59.52990920684434,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,12.0,1.0,9.624657534246575,0.0,0.0
HFQZ0BJ1S9W2,47,ZAPOSLEN,53.12516910397787,51.92973270614647,60.0,59.36570226885084,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,6.0,0.0,18.47945205479452,2.0,0.0
HO22A935ZQRI,44,ZAPOSLEN,90.73113181845194,30.780292583100206,41.0,59.31801316969826,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,1.0,26.07945205479452,0.0,0.0
QR90EYF7K2LO,26,ZAPOSLEN,73.49995328412595,28.031923966922605,69.0,59.187753236213126,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,10.0,0.0,10.263013698630138,8.0,0.0
0UH0HNGRHTJK,36,SAMOZAPOSLEN,83.54480052321779,23.926921511816403,61.0,59.06144878785278,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,11.0,1.0,10.394520547945206,8.0,0.0
2BWZJWT5N14K,40,ZAPOSLEN,100.0,4.507936507936507,69.0,59.053174603174604,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,9.0,1.0,29.34246575342466,1.0,0.0
8WHKBFZZ3J18,46,ZAPOSLEN,77.46248752836063,33.5220437124226,54.0,59.020688119895254,RAZVIJAJ PREMIUM,📱  Automatska nagrada putem aplikacije,7.0,1.0,13.873972602739727,8.0,0.0
