IDENTIFIKATOR_KLIJENTA,DOB,VRSTA_ZAPOSLENJA,SEGMENT,PRIORITY_SCORE,CLV_SCORE,CHURN_RISK,FUTURE_POTENTIAL,RANG_PONUDE,PROIZVOD,RAZLOG,ZARADA_BANKE,KANAL,PONUDA_SCORE
T0841J3T388A,33,ZAPOSLEN,RAZVIJAJ PREMIUM,67.3,83.5,18.9,62.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
QUELJIJ5M37F,29,ZAPOSLEN,RAZVIJAJ PREMIUM,65.6,100.0,15.3,78.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
QUELJIJ5M37F,29,ZAPOSLEN,RAZVIJAJ PREMIUM,65.6,100.0,15.3,78.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 13,244€",Stabilizacija pasive,HPB mobilna aplikacija,83
JTX3RX0WK9AG,64,ZAPOSLEN,RAZVIJAJ PREMIUM,64.5,93.5,45.0,35.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
JTX3RX0WK9AG,64,ZAPOSLEN,RAZVIJAJ PREMIUM,64.5,93.5,45.0,35.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 31,682€",Stabilizacija pasive,HPB mobilna aplikacija,83
QEAUO75VWZNM,32,ZAPOSLEN,RAZVIJAJ PREMIUM,63.8,83.5,30.9,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
FCQLJVYHUREL,25,ZAPOSLEN,RAZVIJAJ PREMIUM,63.7,86.8,28.9,67.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
FCQLJVYHUREL,25,ZAPOSLEN,RAZVIJAJ PREMIUM,63.7,86.8,28.9,67.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 2,771€",Stabilizacija pasive,HPB mobilna aplikacija,50
5NQU79Z4AA1I,35,ZAPOSLEN,SPASI PRIORITET,63.4,42.0,72.4,79.0,1,Intervencija bankara — osobni poziv,"Klijent 18 god. u HPB-u, CLV 42 — visoki churn rizik, potreban osobni kontakt",Retencija visoko vrijednog klijenta,Osobni poziv / sastanak u poslovnici,100
5NQU79Z4AA1I,35,ZAPOSLEN,SPASI PRIORITET,63.4,42.0,72.4,79.0,2,Kredit — ponuda po mjeri,"Prihodi 5,058€/mj., bez aktivnog kredita — personalna kreditna ponuda kao retencijski alat",Dugoročni kreditni prihod,Osobni savjetnik,61
